Date,Open,High,Low,Close
07/26/2024,"5,433.67","5,488.32","5,430.70","5,459.10"
07/25/2024,"5,428.70","5,491.59","5,390.95","5,399.22"
07/24/2024,"5,505.84","5,508.04","5,419.98","5,427.13"
07/23/2024,"5,565.30","5,585.34","5,550.90","5,555.74"
07/22/2024,"5,544.54","5,570.36","5,529.04","5,564.41"
07/19/2024,"5,543.37","5,557.50","5,497.04","5,505.00"
07/18/2024,"5,608.56","5,614.05","5,522.81","5,544.59"
07/17/2024,"5,610.07","5,622.49","5,584.81","5,588.27"
07/16/2024,"5,644.09","5,669.67","5,639.02","5,667.20"
07/15/2024,"5,638.16","5,666.94","5,614.75","5,631.22"
07/12/2024,"5,590.76","5,655.56","5,590.44","5,615.35"
07/11/2024,"5,635.21","5,642.45","5,576.53","5,584.54"
07/10/2024,"5,591.26","5,635.39","5,586.44","5,633.91"
07/09/2024,"5,584.24","5,590.75","5,574.57","5,576.98"
07/08/2024,"5,572.75","5,583.11","5,562.51","5,572.85"
07/05/2024,"5,537.91","5,570.33","5,531.63","5,567.19"
07/03/2024,"5,507.44","5,539.27","5,507.42","5,537.02"
07/02/2024,"5,461.84","5,509.69","5,458.43","5,509.01"
07/01/2024,"5,471.08","5,479.55","5,446.53","5,475.09"
06/28/2024,"5,488.48","5,523.64","5,451.12","5,460.48"
06/27/2024,"5,473.59","5,490.81","5,467.54","5,482.87"
06/26/2024,"5,460.71","5,483.14","5,451.87","5,477.90"
